source,target,partial_correlation,abs_partial_corr
TAVHL,DOHOL,0.030837,0.030837
AKSA,INDES,0.030799,0.030799
SOKM,GUBRF,0.030758,0.030758
KRDMD,ENJSA,0.030732,0.030732
TKFEN,EGEEN,0.030694,0.030694
AEFES,MAVI,0.030687,0.030687
ZOREN,HEKTS,0.030683,0.030683
MAVI,BRYAT,0.030664,0.030664
VESTL,GUBRF,0.030602,0.030602
VAKBN,ISGYO,0.030534,0.030534
VESBE,INDES,0.030468,0.030468
PETKM,TTKOM,0.03045,0.03045
EGEEN,BUCIM,0.030408,0.030408
AKSA,BERA,0.03039,0.03039
ISGYO,DOHOL,0.030375,0.030375
THYAO,TTKOM,0.030347,0.030347
KRDMD,ENKAI,0.030316,0.030316
AKBNK,HALKB,0.030231,0.030231
VESTL,ASELS,0.030196,0.030196
DOHOL,ASELS,0.030186,0.030186
THYAO,EKGYO,0.029992,0.029992
SISE,TOASO,0.029946,0.029946
TKFEN,THYAO,0.029897,0.029897
TTKOM,ENKAI,0.029712,0.029712
MPARK,ODAS,0.029651,0.029651
MAVI,DOAS,0.029647,0.029647
ASUZU,GUBRF,0.029636,0.029636
INDES,BERA,0.029582,0.029582
ZOREN,SKBNK,0.02946,0.02946
VESTL,AKFGY,0.029392,0.029392
DOAS,AKSEN,0.02937,0.02937
VESTL,TTKOM,0.029204,0.029204
KRDMD,MGROS,0.029183,0.029183
AKSA,BRISA,0.029016,0.029016
DOHOL,ECILC,0.028619,0.028619
EKGYO,AKBNK,0.028607,0.028607
LOGO,VESTL,0.028489,0.028489
AGHOL,AKSA,0.028391,0.028391
MAVI,KCHOL,0.028206,0.028206
VESTL,TKNSA,0.028206,0.028206
BERA,GUBRF,0.028077,0.028077
ODAS,SKBNK,0.028053,0.028053
TKFEN,AYGAZ,0.028047,0.028047
AYGAZ,ALARK,0.027984,0.027984
SISE,EGEEN,0.027963,0.027963
ARCLK,EKGYO,0.02788,0.02788
VESTL,BUCIM,0.027782,0.027782
TURSG,BRYAT,0.027693,0.027693
VESBE,KRDMD,0.027679,0.027679
ASUZU,OTKAR,0.027563,0.027563
TKFEN,OTKAR,0.027424,0.027424
TURSG,AKFGY,0.027307,0.027307
PGSUS,TKNSA,0.027296,0.027296
THYAO,ARCLK,0.02721,0.02721
ODAS,ISGYO,0.027193,0.027193
SASA,BERA,0.027174,0.027174
TTRAK,EGEEN,0.027174,0.027174
DGATE,BRISA,0.027053,0.027053
VESTL,BERA,0.027027,0.027027
EGEEN,ASUZU,0.027013,0.027013
SOKM,KRDMD,0.027013,0.027013
AEFES,ULKER,0.026938,0.026938
AYGAZ,DOAS,0.026869,0.026869
KCHOL,DOHOL,0.026822,0.026822
ECILC,GUBRF,0.02679,0.02679
FROTO,BRISA,0.026781,0.026781
BERA,DOAS,0.026755,0.026755
ODAS,INDES,0.02666,0.02666
EGEEN,ALARK,0.02663,0.02663
SISE,VESTL,0.026629,0.026629
EREGL,SASA,0.02661,0.02661
ASELS,OTKAR,0.026566,0.026566
MPARK,SOKM,0.026512,0.026512
TKFEN,EKGYO,0.026465,0.026465
ISGYO,ENJSA,0.026352,0.026352
EKGYO,ENKAI,0.026317,0.026317
FROTO,DOHOL,0.026235,0.026235
EKGYO,HEKTS,0.026221,0.026221
KRDMD,CEMTS,0.026214,0.026214
OYAKC,EGEEN,0.026195,0.026195
INDES,AKFGY,0.026147,0.026147
CIMSA,DOAS,0.026069,0.026069
TOASO,BRISA,0.026045,0.026045
TKNSA,HEKTS,0.025833,0.025833
PGSUS,EGEEN,0.025738,0.025738
PETKM,GUBRF,0.025651,0.025651
TOASO,ENKAI,0.025627,0.025627
ULKER,EKGYO,0.025481,0.025481
OYAKC,ASUZU,0.025412,0.025412
EGEEN,CIMSA,0.02541,0.02541
MAVI,CCOLA,0.0254,0.0254
THYAO,ASELS,0.025354,0.025354
TKNSA,ASELS,0.02535,0.02535
EKGYO,GUBRF,0.025311,0.025311
LOGO,TOASO,0.02521,0.02521
EKGYO,AKSEN,0.025098,0.025098
AGHOL,BRYAT,0.025097,0.025097
TTKOM,ARCLK,0.025069,0.025069
INDES,ALARK,0.02503,0.02503
ULKER,TOASO,0.024988,0.024988
ODAS,BRSAN,0.024987,0.024987
CEMTS,ASELS,0.024981,0.024981
TTKOM,ISGYO,0.024926,0.024926
DOAS,ECILC,0.024889,0.024889
EREGL,EKGYO,0.024794,0.024794
INDES,CEMTS,0.024643,0.024643
PETKM,CIMSA,0.024608,0.024608
VESTL,DOHOL,0.024501,0.024501
AKSA,ECILC,0.024467,0.024467
TKFEN,SISE,0.02437,0.02437
TTKOM,ASUZU,0.024339,0.024339
INDES,AKSEN,0.024318,0.024318
YKBNK,SKBNK,0.024281,0.024281
TURSG,TTKOM,0.02426,0.02426
TKFEN,TTRAK,0.024249,0.024249
EKGYO,ISCTR,0.02409,0.02409
SASA,GUBRF,0.024029,0.024029
FROTO,SASA,0.023997,0.023997
TAVHL,TTKOM,0.023949,0.023949
AKSA,VESTL,0.023932,0.023932
MAVI,KRDMD,0.023833,0.023833
OYAKC,AKSEN,0.023777,0.023777
TTKOM,ECILC,0.023752,0.023752
CIMSA,ENJSA,0.023751,0.023751
LOGO,OTKAR,0.023737,0.023737
LOGO,CEMTS,0.023697,0.023697
BTCIM,ASUZU,0.023632,0.023632
VESTL,ENKAI,0.023631,0.023631
PGSUS,ODAS,0.023629,0.023629
TKFEN,ASUZU,0.023578,0.023578
SKBNK,TKNSA,0.023558,0.023558
SASA,TUPRS,0.023539,0.023539
SKBNK,KCHOL,0.02352,0.02352
AGHOL,TKNSA,0.023497,0.023497
PGSUS,VESTL,0.023477,0.023477
AKSA,TTRAK,0.023463,0.023463
DOHOL,ALARK,0.023412,0.023412
INDES,CIMSA,0.02323,0.02323
TKFEN,CIMSA,0.02307,0.02307
TURSG,EKGYO,0.022994,0.022994
SASA,VESTL,0.02299,0.02299
SISE,TCELL,0.022958,0.022958
PGSUS,SAHOL,0.02291,0.02291
PETKM,CEMTS,0.022789,0.022789
ALARK,OTKAR,0.022751,0.022751
MAVI,EGEEN,0.022712,0.022712
BTCIM,BRSAN,0.022599,0.022599
DOAS,AKFGY,0.022579,0.022579
MGROS,DOHOL,0.022572,0.022572
AGHOL,MPARK,0.022561,0.022561
CCOLA,TTKOM,0.022475,0.022475
CEMTS,ALARK,0.022296,0.022296
CCOLA,DOHOL,0.02222,0.02222
BUCIM,HEKTS,0.022179,0.022179
TKNSA,ENJSA,0.022126,0.022126
PGSUS,AKFGY,0.022006,0.022006
SASA,ASELS,0.021971,0.021971
INDES,TOASO,0.021886,0.021886
INDES,DOHOL,0.021874,0.021874
DGATE,BUCIM,0.021867,0.021867
SAHOL,TOASO,0.02175,0.02175
BUCIM,GUBRF,0.021686,0.021686
TTRAK,BRISA,0.021631,0.021631
TTRAK,CIMSA,0.021605,0.021605
