source,target,te_forward,te_backward,net_te,dominant_direction
EGEEN,SISE,0.0,0.007038,-0.007038,SISE->EGEEN
TKFEN,SASA,0.007024,0.0,0.007024,TKFEN->SASA
GARAN,MPARK,0.007023,0.0,0.007023,GARAN->MPARK
ALARK,TUPRS,0.0,0.007021,-0.007021,TUPRS->ALARK
BRYAT,ISGYO,0.0,0.007018,-0.007018,ISGYO->BRYAT
AEFES,TCELL,0.00701,0.0,0.00701,AEFES->TCELL
YKBNK,ENJSA,0.007004,0.0,0.007004,YKBNK->ENJSA
BERA,YKBNK,0.007003,0.0,0.007003,BERA->YKBNK
AEFES,THYAO,0.007002,0.0,0.007002,AEFES->THYAO
ASUZU,SAHOL,0.006998,0.0,0.006998,ASUZU->SAHOL
ULKER,ISCTR,0.006994,0.0,0.006994,ULKER->ISCTR
AKFGY,ASUZU,0.006981,0.0,0.006981,AKFGY->ASUZU
PAPIL,VESTL,0.0,0.006971,-0.006971,VESTL->PAPIL
PGSUS,SASA,0.006962,0.0,0.006962,PGSUS->SASA
BRSAN,TOASO,0.0,0.006958,-0.006958,TOASO->BRSAN
CIMSA,VESBE,0.0,0.00695,-0.00695,VESBE->CIMSA
VESTL,ODAS,0.0,0.006949,-0.006949,ODAS->VESTL
ENKAI,GUBRF,0.006945,0.0,0.006945,ENKAI->GUBRF
CEMTS,VAKBN,0.0,0.00694,-0.00694,VAKBN->CEMTS
FROTO,TKFEN,0.006939,0.0,0.006939,FROTO->TKFEN
BRISA,AYGAZ,0.0,0.006939,-0.006939,AYGAZ->BRISA
ENKAI,ZOREN,0.006934,0.0,0.006934,ENKAI->ZOREN
FROTO,AKFGY,0.0,0.006932,-0.006932,AKFGY->FROTO
CEMTS,DOHOL,0.0,0.006931,-0.006931,DOHOL->CEMTS
PAPIL,TUPRS,0.006927,0.0,0.006927,PAPIL->TUPRS
VESBE,HEKTS,0.0,0.006926,-0.006926,HEKTS->VESBE
AKSA,KRDMD,0.0,0.00692,-0.00692,KRDMD->AKSA
BRYAT,GARAN,0.0,0.006916,-0.006916,GARAN->BRYAT
BRSAN,ARCLK,0.0,0.006906,-0.006906,ARCLK->BRSAN
TKFEN,TAVHL,0.0,0.006897,-0.006897,TAVHL->TKFEN
EREGL,TCELL,0.006888,0.0,0.006888,EREGL->TCELL
BRYAT,ZOREN,0.0,0.006883,-0.006883,ZOREN->BRYAT
ANHYT,TAVHL,0.0,0.00688,-0.00688,TAVHL->ANHYT
AEFES,CIMSA,0.006876,0.0,0.006876,AEFES->CIMSA
AYGAZ,THYAO,0.0,0.006872,-0.006872,THYAO->AYGAZ
AKFGY,TUPRS,0.0,0.006861,-0.006861,TUPRS->AKFGY
ASUZU,TOASO,0.0,0.006844,-0.006844,TOASO->ASUZU
ENKAI,ISGYO,0.006844,0.0,0.006844,ENKAI->ISGYO
EGEEN,ISCTR,0.006837,0.0,0.006837,EGEEN->ISCTR
CEMTS,GARAN,0.00683,0.0,0.00683,CEMTS->GARAN
BTCIM,TKNSA,0.006826,0.0,0.006826,BTCIM->TKNSA
ECILC,ISGYO,0.0,0.006821,-0.006821,ISGYO->ECILC
DOAS,VESBE,0.006821,0.0,0.006821,DOAS->VESBE
DOAS,TUPRS,0.0,0.00682,-0.00682,TUPRS->DOAS
VESBE,PETKM,0.0,0.006815,-0.006815,PETKM->VESBE
DOHOL,VAKBN,0.0,0.006791,-0.006791,VAKBN->DOHOL
TURSG,TOASO,0.006786,0.0,0.006786,TURSG->TOASO
BERA,PETKM,0.006772,0.0,0.006772,BERA->PETKM
ANHYT,DGATE,0.006767,0.0,0.006767,ANHYT->DGATE
FROTO,TTRAK,0.006762,0.0,0.006762,FROTO->TTRAK
SASA,AYGAZ,0.0,0.006759,-0.006759,AYGAZ->SASA
HEKTS,INDES,0.0,0.006752,-0.006752,INDES->HEKTS
MAVI,HEKTS,0.0,0.006743,-0.006743,HEKTS->MAVI
AKSEN,SKBNK,0.0,0.006737,-0.006737,SKBNK->AKSEN
AKBNK,HEKTS,0.006737,0.0,0.006737,AKBNK->HEKTS
TOASO,ZOREN,0.0,0.006718,-0.006718,ZOREN->TOASO
SISE,TKNSA,0.006715,0.0,0.006715,SISE->TKNSA
AKSEN,ISCTR,0.0,0.006682,-0.006682,ISCTR->AKSEN
ALARK,BIMAS,0.0,0.006681,-0.006681,BIMAS->ALARK
VESTL,SOKM,0.006669,0.0,0.006669,VESTL->SOKM
ENKAI,INDES,0.0,0.006665,-0.006665,INDES->ENKAI
CCOLA,YKBNK,0.0,0.006663,-0.006663,YKBNK->CCOLA
TCELL,ZOREN,0.00666,0.0,0.00666,TCELL->ZOREN
TUPRS,TTKOM,0.0,0.006656,-0.006656,TTKOM->TUPRS
CCOLA,ANHYT,0.006646,0.0,0.006646,CCOLA->ANHYT
BRSAN,ENJSA,0.0,0.006638,-0.006638,ENJSA->BRSAN
BERA,ENJSA,0.014091,0.007454,0.006637,BERA->ENJSA
ENKAI,TTRAK,0.0,0.006636,-0.006636,TTRAK->ENKAI
CIMSA,GARAN,0.00663,0.0,0.00663,CIMSA->GARAN
OYAKC,BRSAN,0.0,0.006626,-0.006626,BRSAN->OYAKC
BIMAS,VESBE,0.006622,0.0,0.006622,BIMAS->VESBE
BUCIM,VESTL,0.0,0.006621,-0.006621,VESTL->BUCIM
ENKAI,TOASO,0.006591,0.0,0.006591,ENKAI->TOASO
BUCIM,YKBNK,0.0,0.006583,-0.006583,YKBNK->BUCIM
SASA,CIMSA,0.006563,0.0,0.006563,SASA->CIMSA
DOAS,BRISA,0.006559,0.0,0.006559,DOAS->BRISA
KCHOL,HALKB,0.006502,0.0,0.006502,KCHOL->HALKB
EKGYO,TTRAK,0.0,0.006496,-0.006496,TTRAK->EKGYO
GARAN,ARCLK,0.006489,0.0,0.006489,GARAN->ARCLK
AKFGY,TTKOM,0.006479,0.0,0.006479,AKFGY->TTKOM
OYAKC,ANHYT,0.006462,0.0,0.006462,OYAKC->ANHYT
BUCIM,TTKOM,0.006451,0.0,0.006451,BUCIM->TTKOM
AKFGY,PETKM,0.006428,0.0,0.006428,AKFGY->PETKM
DOHOL,SOKM,0.006404,0.0,0.006404,DOHOL->SOKM
EGEEN,BERA,0.0,0.006387,-0.006387,BERA->EGEEN
ANHYT,MPARK,0.006352,0.0,0.006352,ANHYT->MPARK
BTCIM,HEKTS,0.006276,0.0,0.006276,BTCIM->HEKTS
AGESA,SAHOL,0.0,0.006199,-0.006199,SAHOL->AGESA
CCOLA,EGEEN,0.0,0.006164,-0.006164,EGEEN->CCOLA
ECILC,YKBNK,0.006157,0.0,0.006157,ECILC->YKBNK
BRYAT,ULKER,0.0,0.006143,-0.006143,ULKER->BRYAT
TKNSA,DGATE,0.006141,0.0,0.006141,TKNSA->DGATE
GUBRF,HEKTS,0.006139,0.0,0.006139,GUBRF->HEKTS
CEMTS,ARCLK,0.006133,0.0,0.006133,CEMTS->ARCLK
PGSUS,ANHYT,0.0,0.006133,-0.006133,ANHYT->PGSUS
TKFEN,VESBE,0.0,0.005882,-0.005882,VESBE->TKFEN
AGHOL,TTRAK,0.007522,0.012953,-0.005431,TTRAK->AGHOL
AGHOL,THYAO,0.012673,0.008027,0.004646,AGHOL->THYAO
TKFEN,ULKER,0.013869,0.009484,0.004385,TKFEN->ULKER
ULKER,SAHOL,0.006499,0.010815,-0.004317,SAHOL->ULKER
BERA,ARCLK,0.010663,0.006965,0.003698,BERA->ARCLK
YKBNK,SKBNK,0.006033,0.00956,-0.003527,SKBNK->YKBNK
BERA,LOGO,0.009542,0.006361,0.003181,BERA->LOGO
AYGAZ,KCHOL,0.01039,0.007377,0.003013,AYGAZ->KCHOL
BRSAN,VESBE,0.010151,0.007151,0.002999,BRSAN->VESBE
TKFEN,TTKOM,0.007962,0.010469,-0.002506,TTKOM->TKFEN
BRYAT,ODAS,0.007221,0.009528,-0.002307,ODAS->BRYAT
BRYAT,ASUZU,0.009143,0.006851,0.002292,BRYAT->ASUZU
AKSA,AYGAZ,0.009434,0.007417,0.002017,AKSA->AYGAZ
MPARK,THYAO,0.007765,0.009768,-0.002003,THYAO->MPARK
HEKTS,TCELL,0.010518,0.00863,0.001889,HEKTS->TCELL
ASUZU,PETKM,0.009089,0.007261,0.001828,ASUZU->PETKM
TURSG,SISE,0.006536,0.008347,-0.001811,SISE->TURSG
BRISA,ASELS,0.006726,0.008498,-0.001771,ASELS->BRISA
AYGAZ,HEKTS,0.009829,0.008364,0.001465,AYGAZ->HEKTS
AKBNK,MGROS,0.007596,0.00884,-0.001244,MGROS->AKBNK
BRSAN,TKNSA,0.008582,0.007399,0.001183,BRSAN->TKNSA
AKFGY,INDES,0.007153,0.008275,-0.001122,INDES->AKFGY
AGESA,EKGYO,0.007603,0.008703,-0.0011,EKGYO->AGESA
AKSA,BRISA,0.007147,0.008172,-0.001025,BRISA->AKSA
AGHOL,CIMSA,0.008185,0.00717,0.001016,AGHOL->CIMSA
SKBNK,ISCTR,0.007144,0.008153,-0.001009,ISCTR->SKBNK
ASELS,DGATE,0.00773,0.006741,0.000989,ASELS->DGATE
AKSA,YKBNK,0.00816,0.007172,0.000988,AKSA->YKBNK
ULKER,ZOREN,0.008728,0.007789,0.000939,ULKER->ZOREN
BRYAT,TUPRS,0.007965,0.007075,0.00089,BRYAT->TUPRS
VAKBN,ZOREN,0.007612,0.006768,0.000845,VAKBN->ZOREN
DOAS,ODAS,0.007833,0.007011,0.000822,DOAS->ODAS
TCELL,TTKOM,0.007413,0.008168,-0.000755,TTKOM->TCELL
GARAN,ISGYO,0.006662,0.007387,-0.000725,ISGYO->GARAN
ECILC,ASELS,0.007937,0.008596,-0.000658,ASELS->ECILC
BUCIM,ENJSA,0.008676,0.008022,0.000655,BUCIM->ENJSA
EGEEN,TCELL,0.007771,0.007205,0.000567,EGEEN->TCELL
PETKM,KRDMD,0.006588,0.007116,-0.000528,KRDMD->PETKM
ALARK,TKNSA,0.008903,0.009313,-0.00041,TKNSA->ALARK
BERA,HEKTS,0.008813,0.0085,0.000314,BERA->HEKTS
SASA,EGEEN,0.007811,0.00753,0.000281,SASA->EGEEN
DOAS,OTKAR,0.008286,0.008013,0.000273,DOAS->OTKAR
SASA,ENJSA,0.007882,0.008062,-0.00018,ENJSA->SASA
FROTO,HALKB,0.007401,0.007578,-0.000177,HALKB->FROTO
YKBNK,SOKM,0.007625,0.007466,0.000158,YKBNK->SOKM
AKSA,ASUZU,0.006829,0.006746,8.3e-05,AKSA->ASUZU
ANHYT,SAHOL,0.007798,0.007821,-2.3e-05,SAHOL->ANHYT
