ticker,sign_entropy_bits,acf_returns_lag1,acf_abs_returns_lag1,acf_abs_returns_lag5,acf_abs_returns_lag22,hurst_exponent
AKFGY,0.9929609079069274,0.09957277710445733,0.2718226150962381,0.18651434335825615,0.10706614918136248,0.6480029028022073
HEKTS,0.9998431912378611,0.08942078627056936,0.22441577618036718,0.1417345970894237,0.0728780545600723,0.5934791766258901
HALKB,0.9986926027490499,0.08462184107037976,0.31065572413737597,0.1440966122284327,0.09485579228297737,0.5594629378873528
ENJSA,0.9947843722197085,-0.024103301633200028,0.18509734499909092,0.16781418721601868,0.1007539755637428,0.555507817912427
GUBRF,0.9993405763662278,0.13428266047144316,0.26501185111340525,0.20319615777404637,0.024470210284429854,0.6137050261265443
GARAN,0.998284541871433,0.09230349787567856,0.18114690403788783,0.13566191752895032,0.05664143380984262,0.6214878103626024
ALARK,0.9973098393847386,-0.021048898451373536,0.18163143903271514,0.09559141365680265,0.043808051282491135,0.629268684361132
ENKAI,0.9929295113067249,-0.07693421576748445,0.23806090395745322,0.11904637864534262,0.044819684965622233,0.5360682113368243
ASELS,0.9926636591768434,-0.055797415912030725,0.24849105584261252,0.12613983853073935,0.06948812812791548,0.5497459317891221
OTKAR,0.9970359454545212,-0.0009189928253310242,0.15414612470522365,0.10390343976289301,0.028017427412606176,0.6127437256834959
