source,target,partial_correlation,abs_partial_corr
PGSUS,KCHOL,0.036435,0.036435
ALARK,KRDMD,0.036332,0.036332
VESTL,ZOREN,0.036193,0.036193
ARCLK,SAHOL,0.036045,0.036045
TKFEN,DOHOL,0.036037,0.036037
BRYAT,OTKAR,0.036024,0.036024
ULKER,ZOREN,0.035947,0.035947
AKSEN,CEMTS,0.035725,0.035725
ALARK,PETKM,0.035662,0.035662
VAKBN,EKGYO,0.03543,0.03543
BIMAS,KCHOL,0.035307,0.035307
ECILC,SOKM,0.035181,0.035181
BTCIM,SASA,0.035088,0.035088
TURSG,ODAS,0.03503,0.03503
ASELS,TCELL,0.034954,0.034954
EKGYO,SOKM,0.034916,0.034916
AEFES,PETKM,0.034899,0.034899
LOGO,DGATE,0.034878,0.034878
AGHOL,DOHOL,0.034827,0.034827
ALARK,DOAS,0.034821,0.034821
MAVI,TTKOM,0.034636,0.034636
DOHOL,TCELL,0.034591,0.034591
HALKB,KRDMD,0.034563,0.034563
PAPIL,TKNSA,0.034205,0.034205
BRISA,TKNSA,0.034189,0.034189
AKSA,PETKM,0.034109,0.034109
AGHOL,SAHOL,0.033988,0.033988
PAPIL,DOAS,0.033895,0.033895
ODAS,TTRAK,0.03388,0.03388
TAVHL,SISE,0.033823,0.033823
ANHYT,ISGYO,0.033742,0.033742
HEKTS,HALKB,0.033702,0.033702
TKNSA,ZOREN,0.033518,0.033518
ENJSA,ODAS,0.033239,0.033239
AEFES,MAVI,0.033227,0.033227
ASELS,HALKB,0.033221,0.033221
AGHOL,TTKOM,0.033203,0.033203
BUCIM,TKNSA,0.03304,0.03304
PGSUS,BRISA,0.033,0.033
MPARK,DGATE,0.032932,0.032932
BRYAT,ODAS,0.032701,0.032701
TCELL,SAHOL,0.032672,0.032672
TOASO,OTKAR,0.032607,0.032607
VESBE,INDES,0.03258,0.03258
VESTL,KRDMD,0.032557,0.032557
KCHOL,TAVHL,0.032536,0.032536
AKSA,BERA,0.032501,0.032501
EGEEN,VESTL,0.032479,0.032479
TURSG,CIMSA,0.032438,0.032438
AGHOL,ALARK,0.032429,0.032429
INDES,ZOREN,0.032233,0.032233
DOHOL,TAVHL,0.032221,0.032221
BUCIM,INDES,0.032107,0.032107
BTCIM,AKFGY,0.032106,0.032106
ENJSA,KRDMD,0.032001,0.032001
MAVI,LOGO,0.031916,0.031916
ASUZU,CEMTS,0.031853,0.031853
AKBNK,SKBNK,0.031799,0.031799
GUBRF,SOKM,0.03171,0.03171
AKSA,INDES,0.03171,0.03171
OYAKC,KRDMD,0.031658,0.031658
AKSEN,ENJSA,0.031652,0.031652
MAVI,ULKER,0.031634,0.031634
TKFEN,AYGAZ,0.031604,0.031604
VESTL,GUBRF,0.031532,0.031532
VAKBN,ISGYO,0.031434,0.031434
BTCIM,BUCIM,0.031408,0.031408
CIMSA,SISE,0.031151,0.031151
BERA,INDES,0.031102,0.031102
PETKM,TTKOM,0.031075,0.031075
ODAS,LOGO,0.031055,0.031055
TKFEN,EGEEN,0.030976,0.030976
AKSEN,VESBE,0.030939,0.030939
MAVI,DOAS,0.030911,0.030911
LOGO,TKNSA,0.030801,0.030801
TKFEN,CEMTS,0.03064,0.03064
EGEEN,BUCIM,0.030622,0.030622
EKGYO,THYAO,0.030503,0.030503
AKSA,BRISA,0.030491,0.030491
VESTL,TKNSA,0.030478,0.030478
THYAO,TTKOM,0.030424,0.030424
ENKAI,KRDMD,0.030378,0.030378
ASELS,VESTL,0.03033,0.03033
BRSAN,OTKAR,0.03026,0.03026
DOHOL,ISGYO,0.030231,0.030231
ASUZU,INDES,0.030208,0.030208
ENKAI,TTKOM,0.030196,0.030196
AKBNK,HALKB,0.03017,0.03017
SKBNK,ZOREN,0.030103,0.030103
MPARK,ODAS,0.029764,0.029764
DOHOL,ASELS,0.029682,0.029682
AKSEN,DOAS,0.029595,0.029595
ASUZU,GUBRF,0.029503,0.029503
PAPIL,ODAS,0.029476,0.029476
EREGL,SASA,0.029433,0.029433
ECILC,GUBRF,0.029369,0.029369
BUCIM,VESTL,0.029304,0.029304
MAVI,BRYAT,0.029288,0.029288
TKFEN,THYAO,0.029263,0.029263
AKFGY,VESTL,0.029225,0.029225
MAVI,KCHOL,0.029208,0.029208
SISE,TOASO,0.029144,0.029144
MGROS,KRDMD,0.029092,0.029092
VESBE,KRDMD,0.028948,0.028948
AGHOL,AKSA,0.028943,0.028943
AKBNK,EKGYO,0.028881,0.028881
VESTL,TTKOM,0.02877,0.02877
ODAS,SKBNK,0.028733,0.028733
ARCLK,EKGYO,0.028659,0.028659
ECILC,DOHOL,0.028442,0.028442
AEFES,ULKER,0.028287,0.028287
TURSG,BRYAT,0.027974,0.027974
TURSG,AKFGY,0.027951,0.027951
ARCLK,THYAO,0.027897,0.027897
HEKTS,TOASO,0.027826,0.027826
DOHOL,KCHOL,0.02781,0.02781
EGEEN,SISE,0.027636,0.027636
MPARK,SOKM,0.027588,0.027588
VESTL,LOGO,0.027461,0.027461
EGEEN,TTRAK,0.027436,0.027436
FROTO,BRISA,0.027247,0.027247
BERA,GUBRF,0.026991,0.026991
TKFEN,OTKAR,0.026974,0.026974
SOKM,KRDMD,0.026908,0.026908
ALARK,EGEEN,0.026903,0.026903
AKFGY,INDES,0.026878,0.026878
EKGYO,HEKTS,0.02679,0.02679
ENJSA,ISGYO,0.02672,0.02672
CEMTS,KRDMD,0.026709,0.026709
TKFEN,EKGYO,0.02669,0.02669
ENKAI,EKGYO,0.02669,0.02669
ODAS,INDES,0.026678,0.026678
SASA,BERA,0.026627,0.026627
BRISA,DGATE,0.026622,0.026622
ODAS,ISGYO,0.026463,0.026463
ALARK,OTKAR,0.026313,0.026313
PGSUS,EGEEN,0.026313,0.026313
CIMSA,DOAS,0.026298,0.026298
AGHOL,BRYAT,0.026252,0.026252
ASUZU,EGEEN,0.026251,0.026251
PGSUS,TKNSA,0.026224,0.026224
CEMTS,LOGO,0.026041,0.026041
GUBRF,PETKM,0.026004,0.026004
OYAKC,EGEEN,0.025975,0.025975
ASELS,TKNSA,0.025969,0.025969
ENKAI,TOASO,0.025941,0.025941
FROTO,DOHOL,0.025906,0.025906
ASELS,THYAO,0.025868,0.025868
EKGYO,GUBRF,0.025849,0.025849
AKSEN,EKGYO,0.025753,0.025753
YKBNK,SKBNK,0.025731,0.025731
VESTL,SISE,0.02573,0.02573
CEMTS,ASELS,0.025659,0.025659
BRISA,TOASO,0.025574,0.025574
CEMTS,INDES,0.025564,0.025564
EGEEN,CIMSA,0.025553,0.025553
DOAS,BERA,0.025528,0.025528
OYAKC,ASUZU,0.025519,0.025519
ISGYO,TTKOM,0.025512,0.025512
AKSA,ECILC,0.025335,0.025335
ECILC,DOAS,0.025326,0.025326
SASA,TUPRS,0.025245,0.025245
TAVHL,TTKOM,0.025085,0.025085
ARCLK,TTKOM,0.024974,0.024974
TKFEN,TTRAK,0.024958,0.024958
EREGL,EKGYO,0.024867,0.024867
