date,ticker,return_value
2020-11-17,AEFES,
2020-11-17,AGHOL,
2020-11-17,AKSA,
2020-11-17,EREGL,
2020-11-17,FROTO,
2020-11-17,BTCIM,
2020-11-17,CCOLA,
2020-11-17,PAPIL,
2020-11-17,TURSG,
2020-11-17,TKFEN,
2020-11-17,OYAKC,
2020-11-17,PGSUS,
2020-11-17,SASA,
2020-11-17,MAVI,
2020-11-17,BRYAT,
2020-11-17,AKFGY,
2020-11-17,AGESA,
2020-11-17,AKBNK,
2020-11-17,ASUZU,
2020-11-17,AKSEN,
2020-11-17,ANHYT,
2020-11-17,ALARK,
2020-11-17,ENKAI,
2020-11-17,EGEEN,
2020-11-17,BRSAN,
2020-11-17,CEMTS,
2020-11-17,ECILC,
2020-11-17,DOHOL,
2020-11-17,CIMSA,
2020-11-17,DOAS,
2020-11-17,GARAN,
2020-11-17,BERA,
2020-11-17,BRISA,
2020-11-17,BIMAS,
2020-11-17,BUCIM,
2020-11-17,ASELS,
2020-11-17,AYGAZ,
2020-11-17,ARCLK,
2020-11-17,YKBNK,
2020-11-17,VAKBN,
2020-11-17,ULKER,
2020-11-17,VESTL,
2020-11-17,VESBE,
2020-11-17,ENJSA,
2020-11-17,EKGYO,
2020-11-17,GUBRF,
2020-11-17,MPARK,
2020-11-17,ODAS,
2020-11-17,MGROS,
2020-11-17,LOGO,
2020-11-17,ISGYO,
2020-11-17,KCHOL,
2020-11-17,HEKTS,
2020-11-17,HALKB,
2020-11-17,THYAO,
2020-11-17,SOKM,
2020-11-17,TCELL,
2020-11-17,TAVHL,
2020-11-17,SISE,
2020-11-17,SAHOL,
2020-11-17,SKBNK,
2020-11-17,PETKM,
2020-11-17,TKNSA,
2020-11-17,INDES,
2020-11-17,DGATE,
2020-11-17,TUPRS,
2020-11-17,TOASO,
2020-11-17,TTRAK,
2020-11-17,KRDMD,
2020-11-17,ISCTR,
2020-11-17,TTKOM,
2020-11-17,ZOREN,
2020-11-17,OTKAR,
2020-11-18,AEFES,
2020-11-18,AGHOL,
2020-11-18,AKSA,
2020-11-18,EREGL,
2020-11-18,FROTO,
2020-11-18,BTCIM,
2020-11-18,CCOLA,
2020-11-18,PAPIL,
2020-11-18,TURSG,
2020-11-18,TKFEN,
2020-11-18,OYAKC,
2020-11-18,PGSUS,
2020-11-18,SASA,
2020-11-18,MAVI,
2020-11-18,BRYAT,
2020-11-18,AKFGY,
2020-11-18,AGESA,
2020-11-18,AKBNK,
2020-11-18,ASUZU,
2020-11-18,AKSEN,
2020-11-18,ANHYT,
2020-11-18,ALARK,
2020-11-18,ENKAI,
2020-11-18,EGEEN,
2020-11-18,BRSAN,
2020-11-18,CEMTS,
2020-11-18,ECILC,
2020-11-18,DOHOL,
2020-11-18,CIMSA,
2020-11-18,DOAS,
2020-11-18,GARAN,
2020-11-18,BERA,
2020-11-18,BRISA,
2020-11-18,BIMAS,
2020-11-18,BUCIM,
2020-11-18,ASELS,
2020-11-18,AYGAZ,
2020-11-18,ARCLK,
2020-11-18,YKBNK,
2020-11-18,VAKBN,
2020-11-18,ULKER,
2020-11-18,VESTL,
2020-11-18,VESBE,
2020-11-18,ENJSA,
2020-11-18,EKGYO,
2020-11-18,GUBRF,
2020-11-18,MPARK,
2020-11-18,ODAS,
2020-11-18,MGROS,
2020-11-18,LOGO,
2020-11-18,ISGYO,
2020-11-18,KCHOL,
2020-11-18,HEKTS,
2020-11-18,HALKB,
2020-11-18,THYAO,
2020-11-18,SOKM,
2020-11-18,TCELL,
2020-11-18,TAVHL,
2020-11-18,SISE,
2020-11-18,SAHOL,
2020-11-18,SKBNK,
2020-11-18,PETKM,
2020-11-18,TKNSA,
2020-11-18,INDES,
2020-11-18,DGATE,
2020-11-18,TUPRS,
2020-11-18,TOASO,
2020-11-18,TTRAK,
2020-11-18,KRDMD,
2020-11-18,ISCTR,
2020-11-18,TTKOM,
2020-11-18,ZOREN,
2020-11-18,OTKAR,
2020-11-19,AEFES,
2020-11-19,AGHOL,
2020-11-19,AKSA,
2020-11-19,EREGL,
2020-11-19,FROTO,
2020-11-19,BTCIM,
2020-11-19,CCOLA,
2020-11-19,PAPIL,
2020-11-19,TURSG,
2020-11-19,TKFEN,
2020-11-19,OYAKC,
2020-11-19,PGSUS,
2020-11-19,SASA,
2020-11-19,MAVI,
2020-11-19,BRYAT,
2020-11-19,AKFGY,
2020-11-19,AGESA,
2020-11-19,AKBNK,
2020-11-19,ASUZU,
2020-11-19,AKSEN,
2020-11-19,ANHYT,
2020-11-19,ALARK,
2020-11-19,ENKAI,
2020-11-19,EGEEN,
2020-11-19,BRSAN,
2020-11-19,CEMTS,
2020-11-19,ECILC,
2020-11-19,DOHOL,
2020-11-19,CIMSA,
2020-11-19,DOAS,
2020-11-19,GARAN,
2020-11-19,BERA,
2020-11-19,BRISA,
2020-11-19,BIMAS,
2020-11-19,BUCIM,
2020-11-19,ASELS,
2020-11-19,AYGAZ,
2020-11-19,ARCLK,
2020-11-19,YKBNK,
2020-11-19,VAKBN,
2020-11-19,ULKER,
2020-11-19,VESTL,
2020-11-19,VESBE,
2020-11-19,ENJSA,
2020-11-19,EKGYO,
2020-11-19,GUBRF,
2020-11-19,MPARK,
2020-11-19,ODAS,
