ticker,cluster_id,sector
AMP,3,Financials
AMGN,3,Health Care
AME,3,Industrials
STZ,3,Consumer Staples
FIX,3,Industrials
ESS,3,Real Estate
GILD,10,Health Care
GE,3,Industrials
GDDY,3,Information Technology
GD,3,Industrials
FTV,3,Industrials
FTNT,3,Information Technology
FOXA,3,Communication Services
FE,3,Utilities
FCX,3,Materials
F,3,Consumer Discretionary
BEN,3,Financials
XOM,3,Energy
FSLR,28,Information Technology
FRT,3,Real Estate
FITB,3,Financials
FIS,3,Financials
FICO,3,Information Technology
FFIV,3,Information Technology
FDX,3,Industrials
FDS,3,Financials
FAST,3,Industrials
EXR,3,Real Estate
EXPE,3,Consumer Discretionary
EXPD,3,Industrials
EXC,3,Utilities
EVRG,3,Utilities
CMI,3,Industrials
ES,3,Utilities
GEN,34,Information Technology
GIS,3,Consumer Staples
EQT,21,Energy
GL,3,Financials
IBM,3,Information Technology
HWM,3,Industrials
HUM,3,Health Care
HUBB,3,Industrials
HSY,3,Consumer Staples
HST,3,Real Estate
HSIC,3,Health Care
HRL,3,Consumer Staples
HPQ,3,Information Technology
HPE,3,Information Technology
HON,3,Industrials
HLT,3,Consumer Discretionary
HII,3,Industrials
HIG,3,Financials
HD,3,Consumer Discretionary
HCA,3,Health Care
HBAN,3,Financials
HAS,3,Consumer Discretionary
DOC,3,Real Estate
IT,3,Information Technology
HAL,3,Energy
GS,3,Financials
GRMN,3,Consumer Discretionary
GPN,3,Financials
GPC,3,Consumer Discretionary
GNRC,3,Industrials
GM,3,Consumer Discretionary
ERIE,16,Financials
ZTS,3,Health Care
EQR,3,Real Estate
DOV,3,Industrials
DHI,3,Consumer Discretionary
COST,3,Consumer Staples
DG,2,Consumer Staples
EQIX,3,Real Estate
CPAY,3,Financials
DD,3,Materials
D,3,Utilities
GLW,3,Information Technology
FANG,3,Energy
CPRT,3,Industrials
DXCM,7,Health Care
DVN,3,Energy
DVA,29,Health Care
DRI,3,Consumer Discretionary
DHR,3,Health Care
DELL,3,Information Technology
DECK,3,Consumer Discretionary
DE,3,Industrials
DDOG,3,Information Technology
DAL,3,Industrials
CVS,3,Health Care
CTVA,3,Materials
CSX,3,Industrials
CSGP,3,Real Estate
CRWD,3,Information Technology
DLTR,2,Consumer Staples
DLR,3,Real Estate
DOW,3,Materials
EIX,3,Utilities
EL,3,Consumer Staples
EG,3,Financials
EFX,3,Industrials
SATS,36,Communication Services
EW,3,Health Care
ETR,3,Utilities
ETN,3,Industrials
EPAM,3,Information Technology
EOG,3,Energy
EME,3,Industrials
ELV,3,Health Care
EMR,3,Industrials
ECL,3,Materials
EA,1,Communication Services
DPZ,33,Consumer Discretionary
DTE,3,Utilities
COO,3,Health Care
DUK,3,Utilities
EBAY,20,Consumer Discretionary
CRH,3,Materials
FISV,3,Financials
CARR,3,Industrials
OTIS,3,Industrials
